Created at	Labels	CreatedAtConverted
2019-02-08 20:35:43.0	[Bug, fixing approved issue]	02/08/2019 20:35:43
2019-02-12 22:03:18.0	[Bug, fixing approved issue]	02/12/2019 22:03:18
2019-02-21 17:19:44.0	[Bug, fixing approved issue]	02/21/2019 17:19:44
2019-02-21 22:02:01.0	[help wanted, Area: Accessibility, Pri: 3, fixed]	02/21/2019 22:02:01
2019-02-21 23:46:45.0	[Bug, Area: Accessibility, fixing approved issue]	02/21/2019 23:46:45
2019-02-27 02:08:14.0	[Area: Test Case, fixed, Pri: 2]	02/27/2019 02:08:14
2019-02-27 02:08:18.0	[help wanted, Area: User Experience, fixed, Pri: 2]	02/27/2019 02:08:18
2019-02-27 07:42:50.0	[help wanted, Pri: 3, Area: World-Readiness, fixed]	02/27/2019 07:42:50
2019-02-27 20:46:33.0	[Area: World-Readiness, fixed, Pri: 2]	02/27/2019 20:46:33
2019-03-01 20:33:35.0	[Pri: 3, Area: User Experience, fixed]	03/01/2019 20:33:35
2019-03-04 23:46:42.0	[Bug, Area: Accessibility, fixing approved issue]	03/04/2019 23:46:42
2019-03-04 23:53:25.0	[Bug, Area: Accessibility, fixing approved issue]	03/04/2019 23:53:25
2019-03-06 21:13:45.0	[Area: User Experience, fixed, Pri: 2]	03/06/2019 21:13:45
2019-03-06 22:30:44.0	[Pri: 3, fixed]	03/06/2019 22:30:44
2019-03-07 05:28:15.0	[fixed, Pri: 2]	03/07/2019 05:28:15
2019-03-07 15:01:42.0	[Bug, fixing approved issue]	03/07/2019 15:01:42
2019-03-07 18:01:11.0	[fixed]	03/07/2019 18:01:11
2019-03-07 18:17:25.0	[help wanted, Pri: 3, fixed]	03/07/2019 18:17:25
2019-03-07 18:33:53.0	[fixing approved issue]	03/07/2019 18:33:53
2019-03-07 19:50:51.0	[Area: User Experience, fixed, Pri: 1]	03/07/2019 19:50:51
2019-03-07 20:39:25.0	[fixing approved issue]	03/07/2019 20:39:25
2019-03-08 01:14:24.0	[fixing approved issue]	03/08/2019 01:14:24
2019-03-08 02:27:36.0	[fixing approved issue]	03/08/2019 02:27:36
2019-03-08 22:58:01.0	[fixing approved issue, tooling, needs author feedback]	03/08/2019 22:58:01
2019-03-09 02:52:01.0	[fixing approved issue]	03/09/2019 02:52:01
2019-03-09 11:40:03.0	[Area: User Experience, fixed, Pri: 2]	03/09/2019 11:40:03
2019-03-09 16:49:22.0	[Pri: 3, Area: World-Readiness, fixed]	03/09/2019 16:49:22
2019-03-10 00:08:13.0	[Pri: 3, Area: User Experience, fixed]	03/10/2019 00:08:13
2019-03-10 01:22:15.0	[fixing approved issue]	03/10/2019 01:22:15
2019-03-10 04:53:54.0	[fixing approved issue]	03/10/2019 04:53:54
2019-03-10 08:20:04.0	[fixing approved issue]	03/10/2019 08:20:04
2019-03-10 08:53:40.0	[Area: User Experience, fixed, Pri: 2]	03/10/2019 08:53:40
2019-03-10 09:36:05.0	[Bug, fixing approved issue]	03/10/2019 09:36:05
2019-03-10 18:49:35.0	[Area: User Experience, fixed, Pri: 2]	03/10/2019 18:49:35
2019-03-10 22:04:26.0	[Bug, Area: User Experience, fixed, Pri: 2]	03/10/2019 22:04:26
2019-03-11 02:58:54.0	[fixing approved issue]	03/11/2019 02:58:54
2019-03-11 07:25:53.0	[Area: User Experience, fixed, Pri: 2]	03/11/2019 07:25:53
2019-03-11 07:47:01.0	[fixing approved issue]	03/11/2019 07:47:01
2019-03-11 08:33:05.0	[Area: User Experience, fixed, Pri: 2]	03/11/2019 08:33:05
2019-03-11 22:11:04.0	[fixed]	03/11/2019 22:11:04
2019-03-11 23:00:28.0	[Pri: 3, Area: User Experience, fixed]	03/11/2019 23:00:28
2019-03-12 03:58:18.0	[Bug, fixing approved issue]	03/12/2019 03:58:18
2019-03-12 05:37:44.0	[Area: Test Case, fixed, Pri: 2]	03/12/2019 05:37:44
2019-03-12 15:46:06.0	[help wanted, Pri: 3, Area: User Experience, fixed]	03/12/2019 15:46:06
2019-03-12 18:32:19.0	[Area: Accessibility, Pri: 3, fixed, needs more info]	03/12/2019 18:32:19
2019-03-12 22:18:38.0	[fixing approved issue]	03/12/2019 22:18:38
2019-03-12 23:26:13.0	[help wanted, Pri: 3, Area: User Experience, fixed]	03/12/2019 23:26:13
